id,sku,productName,zone,location,quantityOnHand,quantityReserved,quantityAvailable,reorderPoint,status,lastUpdated,unitOfMeasure,weight,category
INV013,SKU-B2005,Industrial Power Supply PS-24V,Zone B,B-01-05,55,10,45,20,available,2026-02-17T10:05:00Z,EA,1.2,Electrical
INV014,SKU-B2006,HMI Touch Panel TP-700,Zone B,B-05-03,9,2,7,10,available,2026-02-16T16:40:00Z,EA,2.4,Controllers
INV015,SKU-B2007,Stepper Motor ST-57,Zone B,B-03-01,28,8,20,15,available,2026-02-17T09:10:00Z,EA,1.9,Motors
INV016,SKU-C3002,Thermal Sensor TS-100,Zone C,C-01-01,75,10,65,25,available,2026-02-17T08:05:00Z,EA,0.15,Sensors
INV017,SKU-C3003,Pressure Sensor PR-20,Zone C,C-03-04,33,6,27,12,available,2026-02-17T10:25:00Z,EA,0.2,Sensors
INV018,SKU-C3004,Industrial Camera ICAM-2K,Zone C,C-04-02,14,3,11,8,available,2026-02-17T11:00:00Z,EA,0.7,Vision
INV019,SKU-C3005,Emergency Stop Switch ES-1,Zone C,C-02-05,120,15,105,40,available,2026-02-17T09:35:00Z,EA,0.25,Safety
INV020,SKU-D4001,Pallet Jack PJ-2500,Zone D,D-01-01,6,1,5,3,available,2026-02-17T07:30:00Z,EA,65,Material Handling
INV021,SKU-D4002,Shrink Wrap Roll SW-500,Zone D,D-02-03,200,40,160,50,available,2026-02-17T08:45:00Z,EA,1.1,Packaging
INV022,SKU-D4003,Shipping Label Pack SL-1K,Zone D,D-03-02,500,50,450,100,available,2026-02-17T10:15:00Z,EA,0.05,Packaging
INV023,SKU-E5001,Chemical Drum CD-50L,Zone E,E-01-02,25,5,20,10,available,2026-02-17T09:05:00Z,EA,18,Hazmat
INV024,SKU-E5002,Protective Gloves PG-XL,Zone E,E-02-01,300,30,270,80,available,2026-02-17T11:20:00Z,EA,0.02,Safety
INV025,SKU-A1008,Roller Conveyor RC-1M,Zone A,A-07-02,32,6,26,15,available,2026-02-17T08:55:00Z,EA,8.5,Conveyors
INV026,SKU-B2008,Circuit Breaker CB-63A,Zone B,B-06-04,70,12,58,25,available,2026-02-17T10:50:00Z,EA,0.6,Electrical
INV027,SKU-C3006,Barcode Scanner BS-USB,Zone C,C-05-01,48,9,39,20,available,2026-02-17T09:25:00Z,EA,0.35,IT Equipment
INV028,SKU-D4004,Wooden Pallet WP-1200,Zone D,D-04-01,90,10,80,30,available,2026-02-17T08:35:00Z,EA,12,Material Handling
INV029,SKU-A1009,Gearbox GB-40,Zone A,A-08-03,11,2,9,6,available,2026-02-17T10:35:00Z,EA,9.7,Mechanical
INV030,SKU-B2009,Industrial Fan IF-24,Zone B,B-07-02,16,4,12,8,available,2026-02-17T11:05:00Z,EA,5.9,HVAC
INV031,SKU-A1010,Hydraulic Pump HP-20,Zone A,A-09-01,18,3,15,8,available,2026-02-18T07:45:00Z,EA,12.5,Mechanical
INV032,SKU-A1011,Steel Bolt SB-M12,Zone A,A-10-02,1000,200,800,300,available,2026-02-18T08:10:00Z,EA,0.02,Hardware
INV033,SKU-B2010,Voltage Regulator VR-220,Zone B,B-08-01,40,5,35,15,available,2026-02-18T09:00:00Z,EA,1.2,Electrical
INV034,SKU-B2011,LED Panel Light LP-40W,Zone B,B-09-03,75,10,65,20,available,2026-02-18T09:30:00Z,EA,2.3,Electrical
INV035,SKU-C3007,Network Switch NS-8P,Zone C,C-06-02,22,4,18,10,available,2026-02-18T10:00:00Z,EA,1.8,IT Equipment
INV036,SKU-C3008,Wireless Router WR-AC,Zone C,C-07-01,30,6,24,12,available,2026-02-18T10:20:00Z,EA,0.9,IT Equipment
INV037,SKU-D4005,Forklift Battery FB-48V,Zone D,D-05-02,10,2,8,4,available,2026-02-18T11:00:00Z,EA,55,Battery
INV038,SKU-D4006,Stretch Film SF-300,Zone D,D-06-03,180,30,150,60,available,2026-02-18T11:30:00Z,EA,1.0,Packaging
INV039,SKU-E5003,Safety Helmet SH-Red,Zone E,E-03-01,120,15,105,40,available,2026-02-18T12:00:00Z,EA,0.5,Safety
INV040,SKU-E5004,Fire Extinguisher FE-5KG,Zone E,E-04-02,35,5,30,15,available,2026-02-18T12:20:00Z,EA,6.5,Safety
INV041,SKU-A1012,Conveyor Belt CB-2M,Zone A,A-11-01,14,2,12,6,available,2026-02-18T07:50:00Z,EA,7.8,Conveyors
INV042,SKU-A1013,Industrial Lubricant IL-1L,Zone A,A-12-02,250,40,210,100,available,2026-02-18T08:25:00Z,EA,1.1,Maintenance
INV043,SKU-B2012,Power Cable PC-10M,Zone B,B-10-01,95,20,75,30,available,2026-02-18T09:10:00Z,EA,2.0,Electrical
INV044,SKU-B2013,Control Panel CP-1,Zone B,B-11-02,12,2,10,5,available,2026-02-18T09:40:00Z,EA,15,Electrical
INV045,SKU-C3009,Handheld Terminal HT-01,Zone C,C-08-03,28,5,23,12,available,2026-02-18T10:10:00Z,EA,0.6,IT Equipment
INV046,SKU-C3010,USB Cable UC-1M,Zone C,C-09-01,500,50,450,200,available,2026-02-18T10:30:00Z,EA,0.1,IT Equipment
INV047,SKU-D4007,Plastic Crate PC-50L,Zone D,D-07-02,160,20,140,60,available,2026-02-18T11:10:00Z,EA,2.5,Storage
INV048,SKU-D4008,Metal Rack MR-5T,Zone D,D-08-01,8,1,7,3,available,2026-02-18T11:40:00Z,EA,70,Storage
INV049,SKU-E5005,Face Shield FS-Clear,Zone E,E-05-02,220,25,195,80,available,2026-02-18T12:10:00Z,EA,0.3,Safety
INV050,SKU-E5006,Spill Kit SK-20L,Zone E,E-06-01,18,3,15,7,available,2026-02-18T12:30:00Z,EA,4.2,Hazmat
INV051,SKU-A1014,Chain Pulley CP-2T,Zone A,A-13-02,9,2,7,4,available,2026-02-18T08:00:00Z,EA,10.5,Material Handling
INV052,SKU-A1015,Hex Nut HN-M10,Zone A,A-14-01,1500,300,1200,500,available,2026-02-18T08:35:00Z,EA,0.01,Hardware
INV053,SKU-B2014,Transformer TR-5KVA,Zone B,B-12-02,6,1,5,3,available,2026-02-18T09:20:00Z,EA,25,Electrical
INV054,SKU-B2015,Cooling Fan CF-12,Zone B,B-13-01,55,10,45,20,available,2026-02-18T09:50:00Z,EA,3.5,HVAC
INV055,SKU-C3011,Monitor Screen MS-24,Zone C,C-10-02,20,4,16,8,available,2026-02-18T10:15:00Z,EA,3.2,IT Equipment
INV056,SKU-C3012,Keyboard KB-USB,Zone C,C-11-01,85,10,75,30,available,2026-02-18T10:40:00Z,EA,0.7,IT Equipment
INV057,SKU-D4009,Pallet Truck PT-2T,Zone D,D-09-03,11,2,9,5,available,2026-02-18T11:20:00Z,EA,60,Material Handling
INV058,SKU-D4010,Cardboard Box CB-M,Zone D,D-10-01,600,80,520,200,available,2026-02-18T11:50:00Z,EA,0.4,Packaging
INV059,SKU-E5007,Safety Boots SB-42,Zone E,E-07-02,75,12,63,25,available,2026-02-18T12:15:00Z,EA,1.8,Safety
INV060,SKU-E5008,Eye Wash Station EWS-1,Zone E,E-08-01,5,1,4,2,available,2026-02-18T12:40:00Z,EA,12,Hazmat
